"file","text","category"
"sys_splash.wav","สวัสดีครับ","ระบบ / นำทาง"
"sys_module_a_desc.wav","มาลองทำกิจกรรมในชีวิตประจำวันกันนะครับ","ระบบ / นำทาง"
"sys_module_b_desc.wav","มาเล่นเกมจับคู่ภาพกันนะครับ","ระบบ / นำทาง"
"sys_module_c_desc.wav","มาเรียนรู้คำศัพท์ใหม่กันนะครับ","ระบบ / นำทาง"
"sys_memory_start.wav","มาจับคู่รูปภาพกันนะครับ","ระบบ / นำทาง"
"sys_soundboard_start.wav","มาเรียนรู้คำศัพท์กันนะครับ","ระบบ / นำทาง"
"sys_memory_match.wav","จับคู่ได้แล้ว!","ระบบ / นำทาง"
"sys_memory_complete.wav","เก่งมากเลย! จับคู่ได้ครบแล้ว!","ระบบ / นำทาง"
"sys_break_reminder.wav","น้องเล่นมานานแล้วนะครับ มาพักสายตาก่อนนะ","ระบบ / นำทาง"
"sys_celebration_1.wav","เก่งมากเลยนะครับ! น้องทำได้แล้ว!","ระบบ / นำทาง"
"sys_celebration_2.wav","ดีมากเลยครับ! เยี่ยมมากเลย!","ระบบ / นำทาง"
"sys_celebration_3.wav","น้องทำได้ดีมากครับ! เก่งมากๆ!","ระบบ / นำทาง"
"sys_quiz_start.wav","ดูรูปแล้วเลือกคำตอบที่ถูกต้องนะครับ","ระบบ / นำทาง"
"sys_quiz_correct.wav","ถูกต้องครับ เก่งมาก!","ระบบ / นำทาง"
"sys_quiz_retry.wav","ยังไม่ใช่ ลองใหม่อีกครั้งนะครับ","ระบบ / นำทาง"
"sys_quiz_complete.wav","เก่งมากเลย! ตอบครบทุกข้อแล้ว!","ระบบ / นำทาง"
"sys_quiz_ask_animals.wav","นี่คือสัตว์อะไร","ระบบ / นำทาง"
"sys_quiz_ask_food.wav","นี่คืออาหารอะไร","ระบบ / นำทาง"
"sys_quiz_ask_drinks.wav","นี่คือเครื่องดื่มอะไร","ระบบ / นำทาง"
"sys_quiz_ask_places.wav","นี่คือที่ไหน","ระบบ / นำทาง"
"sys_quiz_ask_occupations.wav","นี่คืออาชีพอะไร","ระบบ / นำทาง"
"sys_quiz_ask_generic.wav","นี่คืออะไร","ระบบ / นำทาง"
"sc_711_milk_title.wav","ช่วยหยิบของที่เซเว่น","สถานการณ์ Module A"
"sc_trash_sort_title.wav","ช่วยแยกขยะให้ถูกถัง","สถานการณ์ Module A"
"sc_food_prep_title.wav","ช่วยจัดผลไม้ใส่จาน","สถานการณ์ Module A"
"sc_ask_milk_carton_blue.wav","น้องช่วยหยิบนมกล่องสีน้ำเงินใส่ตะกร้าให้หน่อยนะครับ","สถานการณ์ Module A"
"sc_hint_milk_carton_blue.wav","ลองหยิบนมกล่องสีน้ำเงินนะครับ","สถานการณ์ Module A"
"sc_ask_bread_loaf.wav","น้องช่วยหยิบขนมปังใส่ตะกร้าให้หน่อยนะครับ","สถานการณ์ Module A"
"sc_hint_bread_loaf.wav","ลองหยิบขนมปังนะครับ","สถานการณ์ Module A"
"sc_ask_potato_chips.wav","น้องช่วยหยิบขนมกรุบกรอบใส่ตะกร้าให้หน่อยนะครับ","สถานการณ์ Module A"
"sc_hint_potato_chips.wav","ลองหยิบขนมกรุบกรอบนะครับ","สถานการณ์ Module A"
"sc_ask_plastic_bottle.wav","น้องช่วยหยิบขวดพลาสติกใส่ตะกร้าให้หน่อยนะครับ","สถานการณ์ Module A"
"sc_hint_plastic_bottle.wav","ลองหยิบขวดพลาสติกนะครับ","สถานการณ์ Module A"
"sc_ask_food_waste.wav","น้องช่วยหยิบเศษอาหารใส่ตะกร้าให้หน่อยนะครับ","สถานการณ์ Module A"
